Omega,x_re,x_im,x0,v0,floquet,stable
0.668,2.720256251012432,0.0194777866430165,(0.11605076896216053-0.9226212131460205j),(2.3287144210817994+0.07411601018650298j),[0.3409101 +0.23683954j 1.30792991-0.90865457j],False
0.667,2.7230575842280538,0.019430212412955818,(0.11597243458374586-0.9244532762212877j),(2.3304819345426377+0.07413674552219218j),[0.33887527+0.23705518j 1.30904878-0.91572569j],False
0.666,2.725838464172759,0.019381538706426914,(0.1158927343169955-0.926220504579291j),(2.332214567455784+0.07415217474543663j),[0.33684618+0.23726286j 1.31014941-0.92282418j],False
0.665,2.728599014674429,0.019331777203050758,(0.11581167075382008-0.927922855325341j),(2.3339122323122248+0.07416231314399203j),[0.33482284+0.23746264j 1.31123162-0.92995009j],False
0.664,2.7313393593833304,0.019280939203590322,(0.11572925209139241-0.9295602755584058j),(2.3355748418053377+0.07416717753435863j),[0.33280526+0.23765457j 1.31229525-0.93710348j],False
0.663,2.73405962158444,0.019229035596509868,(0.11564547486327918-0.9311326996375644j),(2.33720230894578+0.07416677872157347j),[0.33079347+0.23783869j 1.31334013-0.94428435j],False
0.662,2.7367599243574703,0.01917607691387761,(0.1155603411195094-0.9326400518764413j),(2.3387945468994396+0.0741611290175736j),[0.3287875 +0.23801505j 1.31436608-0.95149271j],False
0.661,2.7394403905315827,0.019122073328343932,(0.11547385283042971-0.9340822458190458j),(2.340351469091562+0.0741502398228516j),[0.32678736+0.23818369j 1.31537292-0.95872855j],False
0.66,2.7421011426795503,0.019067034648084406,(0.11538601188855632-0.9354591842883362j),(2.3418729892225274+0.0741341216433517j),[0.32479309+0.23834465j 1.31636046-0.96599183j],False
0.659,2.744742303118845,0.01901097034715161,(0.11529682011044398-0.9367707594245708j),(2.3433590212842033+0.0741127841064159j),[0.32280473+0.23849798j 1.31732853-0.97328252j],False
0.658,2.7473639939107435,0.018953889566169706,(0.11520627923804762-0.9380168527107092j),(2.3448094795756624+0.07408623597531905j),[0.32082231+0.23864373j 1.31827692-0.98060053j],False
0.657,2.749966336858277,0.018895801119480436,(0.11511439094032487-0.9391973349874622j),(2.346224278719325+0.07405448516295836j),[0.31884588+0.23878194j 1.31920546-0.9879458j ],False
0.656,2.7525494535046064,0.01883671350530302,(0.11502115681495992-0.9403120664574549j),(2.347603333677227+0.07401753874462622j),[0.31687547+0.23891265j 1.32011394-0.9953182j ],False
0.655,2.755113465131271,0.018776634915332997,(0.11492657838990361-0.9413608966768684j),(2.348946559766723+0.07397540296959122j),[0.31491115+0.23903591j 1.32100218-1.00271762j],False
0.654,2.757658492756688,0.018715573244024866,(0.11483065712500987-0.9423436645371792j),(2.350253872676717+0.07392808327186323j),[0.31295296+0.23915176j 1.32186995-1.01014392j],False
0.653,2.7601846571346007,0.018653536097390372,(0.11473339441280997-0.9432601982349396j),(2.3515251884836297+0.07387558427956344j),[0.31100095+0.23926024j 1.32271708-1.01759691j],False
0.652,2.76269207875261,0.018590530801388304,(0.11463479158090409-0.9441103152313286j),(2.3527604236676147+0.07381790982411482j),[0.3090552 +0.2393614j  1.32354336-1.02507641j],False
